,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
55,4425,MARTIGNETTI COMPANIES,46119,Phillips Lust Znfdl Lodi,36.66,56.99,750.0,216,7918.56,175.0,9911.25,6521.85,19.42,144929.24,1992.6899999999996,20.105334846765036,0.8101851851851852,1.2516480269139842,36.660000000000004,Large,1503.06
56,9165,ULTRA BEVERAGE COMPANY LLP,15971,Revana Cab Svgn Napa Vly,71.89,109.99,750.0,108,7764.12,92.0,10119.08,6049.45,10.21,68054.7,2354.96,23.272471410444428,0.8518518518518519,1.3033131893891388,71.89,Medium,1150.24
57,10754,PERFECTA WINES,25162,D.des Senechaux CdP,32.89,49.99,750.0,236,7762.04,167.0,8348.33,5098.9800000000005,18.51,28720.52,586.29,7.02284169408732,0.7076271186440678,1.0755329784438112,32.89,Large,2269.41
58,3089,SIDNEY FRANK IMPORTING CO,9066,American Harvest Organic,24.42,31.99,1750.0,316,7716.72,594.0,19002.059999999998,9309.09,1091.59,8549.55,11285.339999999997,59.390087180021524,1.879746835443038,2.462452959288402,24.42,Large,-6788.76
59,9165,ULTRA BEVERAGE COMPANY LLP,16647,Cesari Lugana Cento Filari,8.49,12.99,750.0,904,7674.96,924.0,12002.76,3299.46,103.43,68054.7,4327.8,36.0567069573998,1.0221238938053097,1.5638856749742018,8.49,Large,-169.8
60,2000,SOUTHERN WINE & SPIRITS NE,23281,Ch Lafitite Rothschild Pa 11,637.58,949.99,750.0,12,7650.96,9.0,8549.91,1899.98,1.02,19016.59,898.9499999999998,10.514145762937853,0.75,1.117495059443521,637.58,Small,1912.7400000000002
61,4692,KOBRAND CORPORATION,20108,Sassacaia,116.43,169.99,750.0,64,7451.52,54.0,9179.460000000001,5779.66,6.0,9139.38,1727.9400000000005,18.82398311011759,0.84375,1.2318909430559135,116.43,Medium,1164.3000000000002
62,4425,MARTIGNETTI COMPANIES,23105,DeLille Cellars D2,28.18,41.99,750.0,264,7439.52,218.0,9153.82,3611.1400000000003,24.28,144929.24,1714.2999999999993,18.727700566539426,0.8257575757575758,1.2304315332171967,28.180000000000003,Large,1296.28
63,4425,MARTIGNETTI COMPANIES,21287,Foley Johnson Cab Svgn,15.43,22.99,750.0,472,7282.96,396.0,8894.039999999999,3364.5,44.2,144929.24,1611.079999999999,18.11415284842433,0.8389830508474576,1.221212254358118,15.43,Large,1172.68
64,17035,PERNOD RICARD USA,5169,Kahlua Hazelnut,12.2,18.99,750.0,596,7271.2,674.0,10320.76,5938.22,531.07,123780.22,3049.5600000000004,29.547823997457556,1.1308724832214765,1.4194025745406535,12.2,Large,-951.5999999999999
65,2561,EDRINGTON AMERICAS,2096,The Macallan Edition No 1,78.12,99.99,750.0,92,7187.040000000001,250.0,24997.5,15898.41,197.09,9654.5,17810.46,71.24896489648964,2.717391304347826,3.4781356441594866,78.12,Medium,-12342.960000000001
66,4425,MARTIGNETTI COMPANIES,21693,Chalk Hill Pnt Nr RRV,23.17,34.99,750.0,308,7136.360000000001,401.0,14030.99,8327.62,44.5,144929.24,6894.629999999999,49.13858537423232,1.301948051948052,1.9661269891092936,23.17,Large,-2154.81
67,9625,WESTERN SPIRITS BEVERAGE CO,2843,Calumet Farm Bourbon VAP,31.15,45.99,750.0,228,7102.200000000001,174.0,7847.26,4807.93,137.19,1933.19,745.0599999999995,9.494524203352501,0.7631578947368421,1.1049055222325477,31.150000000000002,Large,1682.1
68,4425,MARTIGNETTI COMPANIES,23107,Duckhorn Howell Mtn Cab Svgn,109.67,169.99,1500.0,64,7018.88,46.0,7819.540000000001,5609.67,10.25,144929.24,800.6600000000008,10.239221232962562,0.71875,1.1140723306282485,109.67,Medium,1974.06
